2025-09-05 13:30:10 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-05 13:30:10 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250905_133009.log
2025-09-05 13:30:49 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-05 13:30:49 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250905_133049.log
2025-09-05 13:30:49 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-05 13:33:24 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-05 13:37:18 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-05 13:37:18 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-05 13:37:19 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
