2025-10-13 11:14:26 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-10-13 11:14:26 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251013_111426.log
2025-10-13 11:14:26 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-13 11:14:27 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-10-13 11:14:27 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251013_111427.log
2025-10-13 11:14:27 | debug_robo_cima | INFO | 
----------------------------------------
2025-10-13 11:14:27 | debug_robo_cima | INFO | 📌 DEFINIÇÃO DE GLOBAIS PILAR ESPECIAL
2025-10-13 11:14:27 | debug_robo_cima | INFO | ----------------------------------------
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 Recebido para definir: <class 'dict'> com 37 itens
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 ID do objeto globais recebido: 2120498416192
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 _globais_pilar_especial ANTES: ID=2120408045440, len=0
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 _globais_pilar_especial APÓS: ID=2120498416192, len=37
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 Verificação de igualdade: globais is _globais_pilar_especial = True
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 Amostra de chaves recebidas: ['pilar1_paia_posicao', 'pilar1_paib_posicao', 'pilar1_gradea_posicao']
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ 🔄 Amostra de chaves armazenadas: ['pilar1_paia_posicao', 'pilar1_paib_posicao', 'pilar1_gradea_posicao']
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️ ✅ Globais do pilar especial definidas: 37 valores
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️    Tipo: L
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️    Dimensões: comp_1=111.0, comp_2=150.0
2025-10-13 11:14:27 | debug_robo_cima | INFO | ℹ️    Larguras: larg_1=20.0, larg_2=30.0
