2025-09-16 12:29:46 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 12:29:46 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_122946.log
2025-09-16 12:30:55 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 12:30:55 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_123055.log
2025-09-16 12:30:55 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 12:31:23 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 12:31:24 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 12:31:25 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 12:31:25 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 12:31:27 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
