2025-09-16 14:55:46 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 14:55:46 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_145546.log
2025-09-16 15:03:02 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 15:03:02 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_150302.log
2025-09-16 15:03:02 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:03:33 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:04:36 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:05:36 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:06:33 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:07:27 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 15:08:28 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
