2025-10-19 00:20:02 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-10-19 00:20:02 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251019_002002.log
2025-10-19 00:23:11 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-10-19 00:23:11 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251019_002311.log
2025-10-19 00:30:37 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:34:59 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:02 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:04 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:06 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:08 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:09 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-10-19 00:35:11 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
