2025-09-16 16:04:58 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 16:04:58 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_160458.log
2025-09-16 16:05:22 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 16:05:22 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_160522.log
2025-09-16 16:05:22 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:23 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:26 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:27 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:28 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:28 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:31 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 16:05:32 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
